time,gFx,gFy,gFz,TgF
17:16:38:871,0.9538,-0.0118,0.1494,0.966
17:16:38:875,0.9338,0.0141,0.1753,0.950
17:16:38:880,0.9216,0.0410,0.2129,0.947
17:16:38:883,0.9044,0.0640,0.2630,0.944
17:16:38:888,0.8749,0.0874,0.3083,0.932
17:16:38:893,0.8353,0.1121,0.3366,0.908
17:16:38:900,0.8028,0.1275,0.3496,0.885
17:16:38:902,0.7864,0.1410,0.3442,0.870
17:16:38:908,0.7771,0.1625,0.3158,0.854
17:16:38:913,0.7722,0.1820,0.2848,0.843
17:16:38:919,0.7710,0.1977,0.2748,0.842
17:16:38:926,0.7790,0.1957,0.2762,0.849
17:16:38:928,0.7962,0.1825,0.2797,0.863
17:16:38:933,0.8108,0.1674,0.3193,0.887
17:16:38:939,0.8472,0.1415,0.3070,0.912
17:16:38:943,0.9123,0.1275,0.2572,0.956
17:16:38:949,0.9377,0.1173,0.2872,0.988
17:16:38:956,0.9616,0.0936,0.3598,1.031
17:16:38:958,1.0108,0.0723,0.4654,1.115
17:16:38:963,1.0340,0.0674,0.5593,1.178
17:16:38:968,1.0098,0.0774,0.5957,1.175
17:16:38:973,0.9863,0.0801,0.5952,1.155
17:16:38:978,0.9834,0.0745,0.5874,1.148
17:16:38:983,0.9885,0.0686,0.5688,1.143
17:16:38:988,0.9878,0.0603,0.5446,1.130
17:16:38:993,0.9729,0.0540,0.5075,1.099
17:16:38:999,0.9604,0.0471,0.4444,1.059
17:16:39:007,0.9514,0.0405,0.3699,1.022
17:16:39:008,0.9524,0.0361,0.3095,1.002
17:16:39:015,0.9565,0.0254,0.2709,0.994
17:16:39:019,0.9458,0.0161,0.2450,0.977
17:16:39:026,0.9255,0.0119,0.2320,0.954
17:16:39:028,0.9123,0.0126,0.2313,0.941
17:16:39:033,0.9118,0.0129,0.2352,0.942
17:16:39:041,0.9098,0.0141,0.2359,0.940
17:16:39:043,0.8986,0.0190,0.2386,0.930
17:16:39:049,0.8859,0.0344,0.2391,0.918
17:16:39:056,0.8773,0.0525,0.2337,0.909
17:16:39:059,0.8680,0.0659,0.2278,0.900
17:16:39:064,0.8600,0.0769,0.2208,0.891
17:16:39:068,0.8534,0.0921,0.2085,0.883
17:16:39:073,0.8585,0.1024,0.1904,0.885
17:16:39:079,0.8746,0.1033,0.1697,0.897
17:16:39:083,0.8839,0.1024,0.1545,0.903
17:16:39:089,0.8822,0.1068,0.1469,0.901
17:16:39:093,0.8754,0.1151,0.1442,0.895
17:16:39:100,0.8651,0.1234,0.1428,0.885
17:16:39:103,0.8409,0.1310,0.1386,0.862
17:16:39:108,0.8028,0.1400,0.1296,0.825
17:16:39:114,0.7654,0.1493,0.1215,0.789
17:16:39:120,0.7377,0.1556,0.1235,0.764
17:16:39:126,0.7272,0.1576,0.1369,0.757
17:16:39:132,0.7263,0.1554,0.1645,0.761
17:16:39:135,0.7197,0.1556,0.1741,0.757
17:16:39:141,0.7172,0.1591,0.1670,0.753
