time,gFx,gFy,gFz,TgF
17:22:03:639,1.2926,0.1923,0.1186,1.312
17:22:03:645,1.2990,0.2114,0.1560,1.325
17:22:03:651,1.3036,0.2199,0.2051,1.338
17:22:03:655,1.3083,0.2202,0.2638,1.353
17:22:03:660,1.3195,0.2209,0.3183,1.375
17:22:03:665,1.3422,0.2190,0.3491,1.404
17:22:03:670,1.3723,0.2087,0.3520,1.432
17:22:03:675,1.4038,0.1918,0.3415,1.457
17:22:03:679,1.4285,0.1754,0.3339,1.477
17:22:03:687,1.4505,0.1654,0.3298,1.497
17:22:03:691,1.4723,0.1596,0.3239,1.516
17:22:03:695,1.4891,0.1578,0.3176,1.531
17:22:03:700,1.5067,0.1574,0.3190,1.548
17:22:03:705,1.5368,0.1549,0.3229,1.578
17:22:03:710,1.5820,0.1552,0.3264,1.623
17:22:03:715,1.6282,0.1605,0.3344,1.670
17:22:03:720,1.6522,0.1767,0.3464,1.697
17:22:03:725,1.6275,0.2153,0.3440,1.677
17:22:03:730,1.6008,0.2461,0.3464,1.656
17:22:03:735,1.5881,0.2561,0.3469,1.646
17:22:03:741,1.5784,0.2627,0.3430,1.636
17:22:03:745,1.5774,0.2715,0.3378,1.636
17:22:03:751,1.5984,0.2847,0.3283,1.656
17:22:03:755,1.6321,0.3148,0.3171,1.692
17:22:03:760,1.6385,0.3610,0.3048,1.705
17:22:03:767,1.5918,0.4006,0.2978,1.668
17:22:03:770,1.5199,0.4177,0.2973,1.604
17:22:03:775,1.4544,0.4160,0.2956,1.541
17:22:03:781,1.3977,0.4172,0.2943,1.488
17:22:03:788,1.3439,0.4194,0.2868,1.437
17:22:03:790,1.2980,0.4111,0.2760,1.389
17:22:03:795,1.2234,0.3673,0.2567,1.303
17:22:03:801,1.1193,0.2967,0.2442,1.183
17:22:03:806,1.0269,0.2346,0.2445,1.081
17:22:03:810,0.9524,0.1872,0.2408,1.000
17:22:03:815,0.8910,0.1503,0.2281,0.932
17:22:03:820,0.8360,0.1244,0.2017,0.869
17:22:03:827,0.7832,0.1092,0.1794,0.811
17:22:03:831,0.7304,0.0965,0.1680,0.756
17:22:03:836,0.6805,0.0757,0.1614,0.703
17:22:03:840,0.6375,0.0466,0.1572,0.658
17:22:03:846,0.6035,0.0210,0.1587,0.624
17:22:03:852,0.5757,0.0063,0.1628,0.598
17:22:03:856,0.5515,0.0002,0.1655,0.576
17:22:03:861,0.5405,-0.0093,0.1645,0.565
17:22:03:867,0.5366,-0.0196,0.1606,0.560
17:22:03:872,0.5344,-0.0265,0.1606,0.559
17:22:03:876,0.5336,-0.0233,0.1618,0.558
17:22:03:881,0.5302,-0.0111,0.1604,0.554
17:22:03:886,0.5295,0.0073,0.1594,0.553
17:22:03:891,0.5329,0.0271,0.1618,0.558
17:22:03:895,0.5383,0.0437,0.1662,0.565
17:22:03:900,0.5410,0.0547,0.1665,0.569
17:22:03:906,0.5446,0.0620,0.1650,0.572
17:22:03:911,0.5481,0.0650,0.1628,0.575
17:22:03:916,0.5507,0.0628,0.1594,0.577
17:22:03:921,0.5534,0.0596,0.1521,0.577
17:22:03:927,0.5527,0.0527,0.1369,0.572
17:22:03:932,0.5349,0.0395,0.1078,0.547
17:22:03:937,0.5006,0.0273,0.0660,0.506
17:22:03:941,0.4640,0.0236,0.0186,0.465
17:22:03:950,0.4334,0.0188,-0.0308,0.435
17:22:03:951,0.4095,0.0224,-0.0767,0.417
17:22:03:957,0.4021,0.0400,-0.1129,0.420
17:22:03:961,0.4175,0.0598,-0.1447,0.446
17:22:03:968,0.4571,0.0750,-0.1679,0.493
17:22:03:972,0.5141,0.0772,-0.1757,0.549
17:22:03:976,0.5686,0.0708,-0.1579,0.594
17:22:03:981,0.5938,0.0730,-0.1114,0.609
17:22:03:987,0.5842,0.0970,-0.0471,0.594
17:22:03:991,0.5749,0.1234,0.0240,0.589
17:22:03:996,0.5767,0.1402,0.0971,0.601
17:22:04:001,0.5828,0.1488,0.1672,0.624
17:22:04:006,0.5884,0.1571,0.2269,0.650
